[Caption above the bar chart:]
Trustworthiness of Information by File Extension
[A line is going down and from that gray bars charting the trustworthiness in a bar graph that goes both left and right of the line. No units or figures are given. For ease of comprehension this transcript will arbitrarily designate the highest score as [+100]; subsequent scores are estimates based on the size of their bars.]
[+100]: .tex
[+89]: .pdf
[+85]: .csv
[+67]: .txt
[+65]: .svg
[+49]: .xls/.xlsx
[+21]: .doc
[+15]: .png
[+14]: .ppt
[+3]: .jpg
[-8]: .jpeg
[-36]: .gif
